Unnamed: 0.1,brand,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,Ram_numeric,ROM_numeric,display_size_numeric,price_category,processor_gen,brand_encoded,processor_encoded,CPU_encoded,Ram_type_encoded,ROM_type_encoded,GPU_encoded,OS_encoded,aspect_ratio,screen_area,ram_rom_ratio,performance_score,is_gaming
695,Ultimus,28990,69.32352941176471,10th Gen Intel Core i5 1035G4,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Iris,14.1,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,14.1,Budget,10.0,24,8,28,2,1,110,12,1.7777777777777777,99.405,0.015625,27.19705882352941,0
696,Acer,39900,69.32352941176471,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,8.0,512.0,14.0,Mid-range,,0,177,25,2,1,126,12,1.6,98.0,0.015625,27.19705882352941,0
697,Lenovo,36490,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,11.0,14,15,17,2,1,112,12,1.7777777777777777,121.67999999999999,0.015625,24.8,0
699,Lenovo,87490,62.0,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated UHD,14.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,14.0,Premium,13.0,14,70,2,8,1,112,12,1.6,98.0,0.03125,28.599999999999998,0
700,Dell,44990,69.32352941176471,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR4,1TB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,1.0,15.6,Mid-range,13.0,6,55,15,2,1,112,12,1.7777777777777777,121.67999999999999,8.0,28.397058823529413,0
701,Lenovo,107990,75.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,16.0,512.0,14.0,High-end,13.0,14,68,6,8,1,123,12,1.6,98.0,0.03125,32.5,0
702,Dell,46900,69.32352941176471,7th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8GB,LPDDR5,1TB,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,1.0,15.6,Mid-range,7.0,6,144,28,8,1,80,12,1.7777777777777777,121.67999999999999,8.0,25.99705882352941,0
703,Dell,98890,63.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,13.3,2560.0,1600.0,Windows 11 OS,1,16.0,1.0,13.3,Premium,13.0,6,68,6,8,1,123,12,1.6,88.44500000000001,16.0,28.9,0
704,Dell,76990,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,1,8.0,1.0,14.0,Premium,13.0,6,58,1,8,1,123,12,1.6,98.0,8.0,28.397058823529413,0
705,Dell,86990,62.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,13.3,2560.0,1600.0,Windows 11 OS,1,16.0,1.0,13.3,Premium,13.0,6,59,6,8,1,123,12,1.6,88.44500000000001,16.0,28.599999999999998,0
